Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,30.00,30.00,30.00,30.00,20/05/2022 12:58,CET,6,180.00
2020 BULKERS,BMG9156K1018,2020,Oslo Børs,NOK,134.60,139.80,134.20,135.40,20/05/2022 16:25,CET,222401,30495141.60
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,4.61,4.79,4.60,4.65,20/05/2022 17:28,CET,9596,45121.37
2MX ORGANIC,FR0014000T90,2MX,Euronext Paris,EUR,9.90,9.90,9.82,9.90,20/05/2022 17:35,CET,7031,69599.06
2MX ORGANIC BS,FR0014000TB2,2MXBS,Euronext Paris,EUR,0.23,0.23,0.23,0.23,08/04/2022 14:47,CET,5000,1150.00
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo,NOK,2.04,2.32,1.904,2.20,20/05/2022 16:29,CET,13220213,27627419.16
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR,1.48,1.48,1.35,1.35,13/11/2019 16:53,CET,378,521.87
A.S.T. GROUPE,FR0000076887,ALAST,Euronext Growth Paris,EUR,3.80,3.80,3.78,3.80,20/05/2022 17:28,CET,1364,5159.12
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,45.67,45.99,44.40,44.65,20/05/2022 17:35,CET,374299,16138258.69
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo,NOK,136.00,136.00,136.00,136.00,20/05/2022 14:29,CET,121,16456.00
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,51.64,52.00,51.00,51.21,20/05/2022 17:36,CET,2035721,105440211.10
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,9.415,9.45,9.10,9.36,20/05/2022 17:35,CET,34009,316429.94
ABATTOIR,BE0946377455,-,Euronext Expert Market,EUR,47.70,47.70,47.70,47.70,24/01/2017 11:30,CET,500,23850.00
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,7.16,7.16,7.12,7.12,20/05/2022 17:35,CET,9929,70813.97
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,16.80,16.85,16.80,16.85,20/05/2022 17:35,CET,601,10121.80
ABG SUNDAL COLLIER,NO0003021909,ABG,Oslo Børs,NOK,6.80,6.90,6.65,6.70,20/05/2022 16:25,CET,624844,4227753.85
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,1.946,1.958,1.856,1.87,20/05/2022 17:29,CET,65009,124010.35
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,17.26,17.84,16.92,17.80,20/05/2022 17:35,CET,31170,542417.34
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,3.25,3.25,3.25,3.25,16/05/2022 11:30,CET,24,78.00
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,10.515,10.57,10.295,10.295,20/05/2022 17:35,CET,4749407,50576039.63
ABO GROUP,BE0974278104,ABO,Euronext Brussels, Paris,EUR,5.10,5.10,5.10,5.10,20/05/2022 13:31,CET,6,30.60
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR,0.806,0.83,0.806,0.83,20/05/2022 17:35,CET,535989,439402.86
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.467,0.482,0.467,0.482,20/05/2022 15:07,CET,281,135.43
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR,54.00,54.55,53.40,54.00,20/05/2022 17:35,CET,139926,7561963.15
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.068,0.068,0.065,0.066,20/05/2022 16:13,CET,52450,3412.50
ACCOR,FR0000120404,AC,Euronext Paris,EUR,30.13,30.93,29.94,30.54,20/05/2022 17:35,CET,638970,19553213.29
ACCOR AC SHARES,FR0014003PZ3,AAC,Euronext Paris,EUR,9.55,9.85,9.55,9.85,19/05/2022 10:37,CET,1000,9700.00
ACCOR AC WARRANTS,FR0014003QK3,AACW,Euronext Paris,EUR,0.14,0.14,0.14,0.14,01/04/2022 16:16,CET,1200,168.00
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,1.60,1.624,1.58,1.58,20/05/2022 17:35,CET,104247,166846.11
ACHETER-LOUER.FR,FR00140072P8,ALALO,Euronext Growth Paris,EUR,0.001,0.001,0.0009,0.0009,20/05/2022 16:42,CET,4087010,3990.93
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,158.70,162.10,158.30,159.10,20/05/2022 17:35,CET,45389,7255946.60
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,2.05,2.05,2.03,2.03,20/05/2022 13:40,CET,6125,12477.27
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR,3.98,4.00,3.70,3.80,20/05/2022 17:35,CET,10095,38497.24
ACTICOR BIOTECH,FR0014005OJ5,ALACT,Euronext Growth Paris,EUR,7.40,7.40,6.70,6.88,20/05/2022 17:35,CET,7630,53976.46
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris,EUR,1.16,1.16,1.16,1.16,20/05/2022 11:30,CET,182,211.12
ACVLHO,BE0010012210,-,Euronext Expert Market,EUR,4500.01,4500.01,4500.01,4500.01,07/07/2015 11:30,CET,3,13500.03
ADA,FR0000053076,ALADA,Euronext Growth Paris,EUR,11.00,11.00,11.00,11.00,20/05/2022 16:04,CET,51,561.00
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.083,0.083,0.083,0.083,16/05/2022 11:30,CET,11900,987.70
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris,EUR,2.66,2.67,2.59,2.63,20/05/2022 15:00,CET,930,2434.93
ADEVINTA,NO0010844038,ADE,Oslo Børs,NOK,61.55,67.50,61.55,67.45,20/05/2022 16:25,CET,1387048,90929254.35
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,5.46,5.55,5.40,5.42,20/05/2022 17:35,CET,24374,133785.48
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris,EUR,0.0299,0.0299,0.0291,0.0292,20/05/2022 17:35,CET,271285,7960.06
ADOMOS DS,FR001400AA10,ADODS,Euronext Growth Paris,EUR,0.0002,0.0003,0.0002,0.0003,20/05/2022 17:29,CET,1328327,306.86
ADP,FR0010340141,ADP,Euronext Paris,EUR,138.15,139.15,134.50,137.75,20/05/2022 17:35,CET,86954,11947130.10
ADS MARITIME HOLD,CY0108052115,ADS,Euronext Growth Oslo,NOK,1.65,1.65,1.55,1.55,20/05/2022 16:25,CET,22835,36613.75
ADUX,FR0012821890,ADUX,Euronext Paris, Amsterdam,EUR,1.93,1.99,1.93,1.94,20/05/2022 17:22,CET,3168,6183.10
ADVENIS,FR0004152874,ALADV,Euronext Growth Paris,EUR,2.80,2.80,2.80,2.80,20/05/2022 09:00,CET,2,5.60
ADVICENNE,FR0013296746,ALDVI,Euronext Growth Paris,EUR,4.155,4.69,4.155,4.60,20/05/2022 17:35,CET,39979,179319.79
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR,19.40,19.60,19.40,19.60,20/05/2022 16:44,CET,150,2929.50
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,1456.40,1505.20,1440.60,1466.00,20/05/2022 17:35,CET,102854,153593944.80
AEDIFICA,BE0003851681,AED,Euronext Brussels, Amsterdam,EUR,108.90,110.30,107.60,108.30,20/05/2022 17:35,CET,48525,5271423.50
AEGA,NO0010626559,AEGA,Euronext Expand Oslo,NOK,1.15,1.174,1.12,1.172,20/05/2022 16:05,CET,117215,134637.70
AEGON,NL0000303709,AGN,Euronext Amsterdam,EUR,4.771,4.869,4.762,4.78,20/05/2022 17:39,CET,8750792,42031956.03
AELIS FARMA,FR0014007ZB4,AELIS,Euronext Paris,EUR,12.16,12.20,12.16,12.20,20/05/2022 17:07,CET,482,5874.36
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,7.25,8.00,7.25,8.00,05/05/2022 09:52,CET,32,244.75
AF GRUPPEN,NO0003078107,AFG,Oslo Børs,NOK,174.40,174.40,167.00,168.00,20/05/2022 16:25,CET,55896,9435195.60
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR,4.215,4.27,4.21,4.27,20/05/2022 14:56,CET,651,2763.80
AFYREN,FR0014005AC9,ALAFY,Euronext Growth Paris,EUR,7.50,8.00,7.47,7.47,20/05/2022 17:35,CET,6692,51367.30
AG3I,FR0011908045,MLAGI,Euronext Access Paris,EUR,0.31,0.31,0.31,0.31,27/12/2021 11:30,CET,74,22.94
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,44.23,44.87,43.72,43.74,20/05/2022 17:35,CET,388505,17157235.11
AGENCE AUTO,FR0014005WE9,MLAA,Euronext Access Paris,EUR,3.68,3.68,3.68,3.68,20/05/2022 11:30,CET,1,3.68
AGENCE MARIT MINNE,BE0024915838,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,3.785,3.995,3.785,3.97,20/05/2022 17:35,CET,527492,2069167.02
AGILYX,NO0010872468,AGLX,Euronext Growth Oslo,NOK,30.30,31.00,30.30,31.00,20/05/2022 16:25,CET,14144,436576.95
AGP MALAGA SOCIMI,ES0105478004,MLAGP,Euronext Access Paris,EUR,2.95,2.95,2.95,2.95,23/11/2020 11:52,CET,2000,5900.00
AGRIPOWER,FR0013452281,ALAGP,Euronext Growth Paris,EUR,8.42,8.45,8.33,8.36,20/05/2022 17:26,CET,1042,8778.09
AGROGENERATION,FR0010641449,ALAGR,Euronext Growth Paris,EUR,0.1058,0.142,0.1006,0.1258,20/05/2022 17:35,CET,3265495,411176.86
AGUAS DA CURIA,PTCUR0AP0000,CUR,Euronext Access Lisbon,EUR,1.17,1.17,1.17,1.17,06/09/2017 20:30,BST,32,37.44
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam, Brussels,EUR,25.10,25.28,24.845,24.955,20/05/2022 17:37,CET,4066355,102947810.77
AIB GROUP PLC,IE00BF0L3536,A5G,Euronext Dublin,EUR,2.254,2.33,2.254,2.294,20/05/2022 21:00,IST,2988174,6861200.89
AINMT,NO0010734742,AINMT,Euronext Expand Oslo,NOK,0.53,0.53,0.4705,0.529,20/05/2022 15:38,CET,54396,27500.75
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris, Amsterdam,EUR,4.292,4.44,4.292,4.296,20/05/2022 17:35,CET,6125727,26602716.64
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,161.22,161.96,159.66,160.12,20/05/2022 17:35,CET,888702,144201386.14
AIR MARINE,FR0013285103,MLAIM,Euronext Access Paris,EUR,1.30,1.30,1.30,1.30,10/05/2022 11:30,CET,1,1.30
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,107.68,109.16,106.74,106.92,20/05/2022 17:36,CET,1481919,160093355.92
AIRTHINGS,NO0010895568,AIRX,Euronext Growth Oslo,NOK,5.01,5.10,4.90,5.00,20/05/2022 16:26,CET,451755,2249796.10
AIRWELL,FR0014003V77,MLAIR,Euronext Access Paris,EUR,3.74,3.74,3.74,3.74,20/05/2022 11:30,CET,130,486.20
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,12.30,12.30,11.85,12.30,20/05/2022 16:39,CET,2745,33604.20
AKASTOR,NO0010215684,AKAST,Oslo Børs,NOK,8.26,8.49,8.26,8.35,20/05/2022 16:18,CET,34552,291621.22
AKER,NO0010234552,AKER,Oslo Børs,NOK,845.50,850.00,820.50,821.00,20/05/2022 16:28,CET,87518,72386601.00
AKER BIOMARINE,NO0010886625,AKBM,Oslo Børs,NOK,47.50,47.90,46.80,47.60,20/05/2022 16:25,CET,67735,3228854.00
AKER BP,NO0010345853,AKRBP,Oslo Børs,NOK,379.60,382.50,371.20,379.20,20/05/2022 16:29,CET,706089,260379960.20
AKER CARBON CAPTUR,NO0010890304,ACC,Oslo Børs,NOK,19.10,19.95,19.10,19.24,20/05/2022 16:25,CET,713736,13916718.85
AKER CLEAN HYDROGE,NO0010936081,ACH,Euronext Growth Oslo,NOK,4.832,4.998,4.79,4.948,20/05/2022 16:25,CET,860418,4271564.12
AKER HORIZONS,NO0010921232,AKH,Oslo Børs,NOK,21.20,21.61,20.83,21.17,20/05/2022 16:38,CET,901403,19095955.66
AKER OFFSHORE WIND,NO0010890312,AOW,Euronext Growth Oslo,NOK,2.70,2.758,2.652,2.676,20/05/2022 16:25,CET,2358693,6352899.14
AKER SOLUTIONS,NO0010716582,AKSO,Oslo Børs,NOK,32.40,33.30,32.40,32.82,20/05/2022 16:25,CET,641873,21198444.44
AKOBO MINERALS,SE0015193412,AKOBO,Euronext Growth Oslo,NOK,6.90,7.06,6.90,7.02,20/05/2022 16:08,CET,9788,67825.28
AKVA GROUP,NO0003097503,AKVA,Oslo Børs,NOK,85.00,85.00,84.00,84.00,20/05/2022 16:15,CET,4230,358601.00
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,16.00,16.64,15.98,16.30,20/05/2022 17:35,CET,11830,193209.72
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,79.42,81.18,79.36,79.92,20/05/2022 17:35,CET,374531,30270341.24
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR,12.95,14.00,12.90,13.20,20/05/2022 17:35,CET,1693,22457.70
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,49.90,49.94,49.82,49.88,20/05/2022 17:35,CET,174858,8623900.82
ALBIOMA BSAAR 2018,FR0013368438,ABIBS,Euronext Growth Paris,EUR,26.29,26.29,26.29,26.29,10/05/2022 14:58,CET,250,6572.50
ALCHIMIE,FR0014000JX7,ALCHI,Euronext Growth Paris,EUR,3.60,3.70,3.60,3.69,20/05/2022 15:17,CET,5722,20801.80
ALD,FR0013258662,ALD,Euronext Paris,EUR,13.36,13.78,13.36,13.60,20/05/2022 17:35,CET,95751,1303991.82
ALEPH FINANCE,GB00BJ9M4V82,MLALE,Euronext Access Paris,EUR,2.90,2.90,2.90,2.90,26/01/2022 11:30,CET,3,8.70
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,94.50,97.32,94.10,94.60,20/05/2022 17:35,CET,125291,11784250.46
ALIAXIS,BE0941243520,-,Euronext Expert Market,EUR,32.60,32.60,32.60,32.60,17/05/2022 11:30,CET,2762,90041.20
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam,EUR,8.035,8.49,8.035,8.28,20/05/2022 17:35,CET,287762,2427005.07
ALME INVEST,BE0146350740,-,Euronext Expert Market,EUR,89.91,89.91,89.91,89.91,11/05/2021 11:30,CET,975,87662.25
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam,EUR,1.24,1.24,1.24,1.24,19/05/2022 12:10,CET,300,372.00
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,13.40,13.48,13.16,13.28,20/05/2022 17:35,CET,10204,135976.88
ALPHA MOS,FR0013421286,ALNEO,Euronext Growth Paris,EUR,2.495,2.495,2.385,2.49,20/05/2022 16:57,CET,1336,3280.60
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,24.11,24.31,23.96,23.96,20/05/2022 17:35,CET,2646754,63654583.25
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,25.895,25.895,25.40,25.80,20/05/2022 17:35,CET,2518,64206.93
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,149.80,152.00,149.20,150.40,20/05/2022 17:35,CET,2641,397876.20
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,645.00,645.00,645.00,645.00,20/05/2022 09:00,CET,1,645.00
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,121.60,123.40,121.20,122.60,20/05/2022 17:35,CET,28969,3552918.80
ALTERNUS ENERGY GR,IE00BLRPRP89,ALT,Euronext Growth Oslo,NOK,23.50,24.00,23.50,24.00,20/05/2022 16:25,CET,400,9405.00
ALTHEORA,FR0000061244,ALORA,Euronext Growth Paris,EUR,1.63,1.64,1.63,1.63,20/05/2022 17:29,CET,91,148.63
ALTRI SGPS,PTALT0AE0002,ALTR,Euronext Lisbon,EUR,5.41,5.58,5.405,5.415,20/05/2022 21:36,BST,1211010,6642158.98
ALTUR INVEST.,FR0010395681,ALTUR,Euronext Paris,EUR,6.98,6.98,6.98,6.98,20/05/2022 09:00,CET,1,6.98
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR,0.76,0.76,0.76,0.76,20/05/2022 15:23,CET,3000,2280.00
ALVEEN,FR0013253812,MLALV,Euronext Access Paris,EUR,0.50,0.50,0.50,0.50,24/03/2022 16:30,CET,11,5.50
AMA CORPORATION,GB00BNKGZC51,ALAMA,Euronext Growth Paris,EUR,2.36,2.55,2.36,2.41,20/05/2022 17:03,CET,28184,68145.12
AMATHEON AGRI,NL0010273694,MLAAH,Euronext Access Paris,EUR,0.0795,0.0795,0.0795,0.0795,20/05/2022 11:30,CET,1,0.08
AMERICAN SHIPPING,NO0010272065,AMSC,Oslo Børs,NOK,33.30,34.50,32.75,34.50,20/05/2022 16:25,CET,262008,8751294.45
AMG,NL0000888691,AMG,Euronext Amsterdam,EUR,32.26,32.54,31.88,32.46,20/05/2022 17:35,CET,655701,21667130.64
AMOEBA,FR0011051598,ALMIB,Euronext Growth Paris,EUR,0.583,0.589,0.56,0.582,20/05/2022 17:35,CET,45150,25674.13
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,2.45,2.54,2.45,2.54,20/05/2022 16:47,CET,2838,7079.94
AMSTERDAM COMMOD.,NL0000313286,ACOMO,Euronext Amsterdam,EUR,23.15,23.35,23.05,23.20,20/05/2022 17:35,CET,5290,122735.25
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,54.00,54.55,53.60,54.35,20/05/2022 17:36,CET,297162,16172768.05
ANDFJORD SALMON,NO0010829765,ANDF,Euronext Growth Oslo,NOK,41.60,41.60,40.20,40.60,20/05/2022 16:25,CET,17864,730901.50
ANS ROCOUR,BE0003243426,-,Euronext Expert Market,EUR,89.30,89.30,89.30,89.30,21/02/2017 11:30,CET,31,2768.30
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR,25.34,27.26,25.34,27.26,20/05/2022 17:35,CET,57502,1545322.56
APERAM,LU0569974404,APAM,Euronext Amsterdam, Brussels, Paris,EUR,36.42,37.16,35.81,36.06,20/05/2022 17:35,CET,340257,12787810.21
APTORUM GROUP CL A,KYG6096M1069,APM,Euronext Paris,EUR,2.70,2.70,2.70,2.70,15/01/2021 13:35,CET,426,1150.20
AQUA BIO TECHNO,NO0010307135,ABT,Euronext Expand Oslo,NOK,9.12,9.53,9.12,9.23,20/05/2022 14:07,CET,11356,106657.22
AQUALISBRAEMAR LOC,NO0010715394,AQUA,Oslo Børs,NOK,13.50,13.80,13.50,13.50,20/05/2022 16:03,CET,37041,508036.80
AQUILA,FR0010340711,ALAQU,Euronext Growth Paris,EUR,5.90,5.90,5.90,5.90,20/05/2022 16:30,CET,24,141.60
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR,5.68,5.825,5.50,5.57,20/05/2022 17:35,CET,94787,534764.86
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam,EUR,36.00,36.86,35.80,36.14,20/05/2022 17:35,CET,157116,5953396.02
ARCELOR MITT LUX,LU0006047129,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-
ARCELORMITT SCHIFF,LU0006067663,-,Euronext Expert Market,EUR,1.11,1.11,1.11,1.11,26/04/2022 11:30,CET,25,27.75
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam, Paris,EUR,27.43,28.055,27.315,27.40,20/05/2022 17:37,CET,6606094,184659467.62
ARCHER,BMG0451H1170,ARCH,Oslo Børs,NOK,3.92,3.92,3.65,3.75,20/05/2022 16:25,CET,164603,613014.77
ARCHOS,FR0014007XT1,ALJXR,Euronext Growth Paris,EUR,1.10,1.10,1.04,1.06,20/05/2022 17:05,CET,27532,29217.10
ARCTIC BIOSCIENCE,NO0010859580,ABS,Euronext Growth Oslo,NOK,14.55,16.00,14.55,15.90,20/05/2022 15:30,CET,9883,155157.30
ARCTIC FISH HOLDIN,NO0010917719,AFISH,Euronext Growth Oslo,NOK,84.00,84.00,84.00,84.00,20/05/2022 16:25,CET,646,54264.00
ARCTICZYMES TECHNO,NO0010014632,AZT,Oslo Børs,NOK,72.50,74.90,70.85,71.05,20/05/2022 16:25,CET,62908,4554821.30
ARCURE,FR0013398997,ALCUR,Euronext Growth Paris,EUR,3.76,3.83,3.75,3.83,20/05/2022 15:29,CET,343,1289.42
ARDOIN ST AMAND A,FR0005057635,MLARD,Euronext Access Paris,EUR,163.00,163.00,163.00,163.00,11/05/2022 16:34,CET,56,9128.00
ARDOIN ST AMAND B,FR0004070795,ARDO,Euronext Access Paris,EUR,72.00,72.00,72.00,72.00,03/08/2020 16:30,CET,2,144.00
ARENDALS FOSSEKOMP,NO0003572802,AFK,Oslo Børs,NOK,328.50,353.50,328.50,333.50,20/05/2022 16:25,CET,29624,10063946.50
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,107.60,109.20,107.00,108.00,20/05/2022 17:35,CET,5715,617657.80
ARGENX SE,NL0010832176,ARGX,Euronext Brussels,EUR,302.00,308.00,294.30,305.30,20/05/2022 17:35,CET,113957,33916142.60
ARGEO,NO0010946593,ARGEO,Euronext Growth Oslo,NOK,4.77,5.30,4.77,5.10,20/05/2022 16:19,CET,4484037,21974439.40
ARIMELIA ITG,ES0105601001,MLARI,Euronext Access Paris,EUR,2.97,2.97,2.97,2.97,17/09/2021 00:00,CET,-,-
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,114.10,116.45,111.85,111.85,20/05/2022 17:35,CET,178046,20131142.25
ARKIMEDES FONDS,BE0945331669,-,Euronext Expert Market,EUR,5.25,5.25,5.25,5.25,10/05/2022 11:30,CET,10,52.50
ARMA,BE0051300847,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-
AROCA DEL PINAR,ES0105486007,MLARO,Euronext Access Paris,EUR,-,-,-,-,-,CET,-,-
ARRIBATEC GROUP,NO0003108102,ARR,Oslo Børs,NOK,0.523,0.525,0.4975,0.514,20/05/2022 16:25,CET,925911,475239.01
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,18.20,18.20,18.20,18.20,20/05/2022 09:00,CET,21,382.20
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,8.01,8.18,8.00,8.00,20/05/2022 17:35,CET,4091,32957.69
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,4520.00,4520.00,4520.00,4520.00,20/05/2022 11:30,CET,2,9040.00
ASCENCIO,BE0003856730,ASC,Euronext Brussels,EUR,51.10,51.90,50.60,51.90,20/05/2022 17:35,CET,3917,201453.90
ASETEK,DK0060477263,ASTK,Oslo Børs,NOK,26.95,27.95,26.95,27.75,20/05/2022 16:25,CET,14162,388673.45
ASHLER ET MANSON,FR0012968485,MLAEM,Euronext Access Paris,EUR,2.26,2.26,2.26,2.26,16/05/2022 11:30,CET,472,1066.72
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,EUR,276.00,287.55,274.75,279.55,20/05/2022 17:35,CET,339749,99813278.15
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,EUR,495.50,515.40,495.50,500.70,20/05/2022 17:39,CET,1247708,641893898.55
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,EUR,44.06,44.65,43.79,44.08,20/05/2022 17:35,CET,436262,18756057.39
ASSICURAZ.GEN.ORD.,IT0000062072,GEN,Traded not listed Brussels,EUR,19.00,19.00,19.00,19.00,19/05/2022 10:26,CET,101,1919.00
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,38.70,38.90,37.60,38.90,20/05/2022 17:35,CET,2348,89358.80
ASTROCAST,CH1122548808,ASTRO,Euronext Growth Oslo,NOK,7.60,8.42,7.20,7.50,20/05/2022 16:25,CET,47775,374836.06
ATARI,FR0010478248,ATA,Euronext Paris,EUR,0.1612,0.1638,0.16,0.1628,20/05/2022 17:35,CET,228316,36975.44
ATEA,NO0004822503,ATEA,Oslo Børs,NOK,108.40,111.40,108.00,109.80,20/05/2022 16:25,CET,55633,6106532.80
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,13.92,13.96,13.42,13.42,20/05/2022 17:35,CET,2536,34610.32
ATENOR,BE0003837540,ATEB,Euronext Brussels,EUR,54.20,55.20,53.80,55.00,20/05/2022 16:29,CET,797,43406.40
ATLANTIC SAPPHIRE,NO0010768500,ASA,Oslo Børs,NOK,19.70,19.70,17.85,18.60,20/05/2022 16:25,CET,416617,7655070.07
ATOS,FR0000051732,ATO,Euronext Paris,EUR,23.72,24.98,23.49,24.86,20/05/2022 17:35,CET,1511811,37145523.25
AUBAY,FR0000063737,AUB,Euronext Paris,EUR,53.10,54.20,52.20,52.80,20/05/2022 17:36,CET,3478,184479.20
AUDACIA,FR00140059B5,ALAUD,Euronext Growth Paris,EUR,5.72,5.72,5.66,5.66,20/05/2022 16:35,CET,416,2361.72
AUDIENCE LABS,FR0011896463,MLAUD,Euronext Access Paris,EUR,4.94,4.94,4.94,4.94,21/03/2022 11:30,CET,5,24.70
AUDIOVALLEY,BE0974334667,ALAVY,Euronext Growth Paris, Brussels,EUR,1.675,1.675,1.64,1.64,20/05/2022 15:50,CET,1879,3128.07
AUGROS COSMETICS,FR0000061780,AUGR,Euronext Paris,EUR,4.28,4.28,4.28,4.28,12/05/2022 16:30,CET,3,12.84
AUPLATA MINING GR,FR0013410370,ALAMG,Euronext Growth Paris,EUR,0.0262,0.0268,0.0246,0.0258,20/05/2022 17:35,CET,27741686,711389.64
AUREA,FR0000039232,AURE,Euronext Paris,EUR,12.00,12.20,11.80,11.80,20/05/2022 17:35,CET,6717,80699.45
AURES TECHNOLOGIES,FR0013183589,AURS,Euronext Paris,EUR,18.70,18.70,17.90,18.20,20/05/2022 17:29,CET,1018,18711.10
AURORA EIENDOM,NO0011032310,AURA,Euronext Growth Oslo,NOK,97.00,97.00,96.00,96.00,20/05/2022 14:55,CET,2873,277072.20
AURSKOG SPAREBANK,NO0006001601,AURG,Oslo Børs,NOK,202.00,202.00,202.00,202.00,20/05/2022 11:11,CET,221,44642.00
AUSTEVOLL SEAFOOD,NO0010073489,AUSS,Oslo Børs,NOK,130.40,134.40,130.30,134.00,20/05/2022 16:25,CET,320381,42498095.60
AUTOSTORE HOLDINGS,BMG0670A1099,AUTO,Oslo Børs,NOK,21.37,22.04,19.58,19.75,20/05/2022 16:26,CET,4762284,97292613.55
AVANCE GAS HOLDING,BMG067231032,AGAS,Oslo Børs,NOK,43.50,44.94,43.50,44.20,20/05/2022 16:25,CET,315358,13968209.06
AVANTIUM,NL0012047823,AVTX,Euronext Amsterdam, Brussels,EUR,3.08,3.195,3.05,3.13,20/05/2022 17:35,CET,134395,421932.03
AVENIR TELECOM,FR0013529815,AVT,Euronext Paris,EUR,0.0113,0.0117,0.011,0.0114,20/05/2022 17:35,CET,43900137,494119.34
AWILCO DRILLING,GB00B5LJSC86,AWDR,Oslo Børs,NOK,3.31,3.56,3.31,3.55,20/05/2022 16:25,CET,27739,96714.01
AWILCO LNG,NO0010607971,ALNG,Euronext Expand Oslo,NOK,6.05,6.31,6.04,6.24,20/05/2022 16:25,CET,560396,3481707.57
AXA,FR0000120628,CS,Euronext Paris,EUR,23.265,23.64,23.055,23.12,20/05/2022 17:35,CET,7412246,175506291.85
